City,Location,Month,Neighborhood,Id
San Francisco,"(37.7829096942769, -122.42257919537688)",12,Western Addition,breach
San Francisco,"(37.7829096942769, -122.42257919537688)",12,Western Addition,nuisance
San Francisco,"(37.779761909734866, -122.43747246802933)",9,Western Addition,late _payments
San Francisco,"(37.779761909734866, -122.43747246802933)",9,Western Addition,late _payments
San Francisco,"(37.77712373650384, -122.4398671810018)",9,Western Addition,late _payments
San Francisco,"(37.77930731307041, -122.43773250373356)",8,Western Addition,breach
San Francisco,"(37.781516470985586, -122.43868240653636)",6,Western Addition,owner _move_in
San Francisco,"(37.780440520222584, -122.4288272162986)",5,Western Addition,breach
San Francisco,"(37.778581491087586, -122.43259625225629)",5,Western Addition,breach
San Francisco,"(37.778351287940126, -122.44102844905092)",5,Western Addition,capital _improvement
San Francisco,"(37.78086621045018, -122.42880323800273)",5,Western Addition,nuisance
San Francisco,"(37.77837185803356, -122.43424083730447)",5,Western Addition,nuisance
San Francisco,"(37.78812073298326, -122.4244043039792)",4,Western Addition,nuisance
San Francisco,"(37.77712373650384, -122.4398671810018)",4,Western Addition,owner _move_in
San Francisco,"(37.782321233948245, -122.42576330336104)",3,Western Addition,nuisance
San Francisco,"(37.77867011382065, -122.43521502709176)",3,Western Addition,capital _improvement
San Francisco,"(37.7779651304182, -122.43324471032874)",2,Western Addition,capital _improvement
San Francisco,"(37.73064881588088, -122.44543559883385)",10,West of Twin Peaks,roommate_same_unit
San Francisco,"(37.72779334362724, -122.46594819019491)",9,West of Twin Peaks,capital _improvement
San Francisco,"(37.72966763950351, -122.46741859628112)",8,West of Twin Peaks,breach
San Francisco,"(37.72966763950351, -122.46741859628112)",8,West of Twin Peaks,non_pay
San Francisco,"(37.73500700637882, -122.44478701266287)",7,West of Twin Peaks,breach
San Francisco,"(37.73500700637882, -122.44478701266287)",7,West of Twin Peaks,non_pay
San Francisco,"(37.73305464021607, -122.43436104779178)",7,West of Twin Peaks,owner _move_in
San Francisco,"(37.73117288442626, -122.45706611411929)",7,West of Twin Peaks,breach
San Francisco,"(37.73117288442626, -122.45706611411929)",7,West of Twin Peaks,late _payments
San Francisco,"(37.744052097804996, -122.45127574712217)",6,West of Twin Peaks,capital _improvement
San Francisco,"(37.729848985500716, -122.4431502211799)",6,West of Twin Peaks,demolition
San Francisco,"(37.744052097804996, -122.45127574712217)",5,West of Twin Peaks,capital _improvement
San Francisco,"(37.735015558359045, -122.44747052459907)",5,West of Twin Peaks,breach
San Francisco,"(37.735015558359045, -122.44747052459907)",5,West of Twin Peaks,non_pay
San Francisco,"(37.72966763950351, -122.46741859628112)",5,West of Twin Peaks,non_pay
San Francisco,"(37.73895425500434, -122.44793377083155)",4,West of Twin Peaks,owner _move_in
San Francisco,"(37.726686880000024, -122.4598938584836)",3,West of Twin Peaks,owner _move_in
San Francisco,"(37.73242766758677, -122.43860525245682)",3,West of Twin Peaks,owner _move_in
San Francisco,"(37.73242766758677, -122.43860525245682)",3,West of Twin Peaks,owner _move_in
San Francisco,"(37.736615725235545, -122.44477502604313)",2,West of Twin Peaks,ellis_act_withdrawal
San Francisco,"(37.73475981409707, -122.45436373104951)",2,West of Twin Peaks,owner _move_in
San Francisco,"(37.71214845237824, -122.4042878400752)",9,Visitacion Valley,owner _move_in
San Francisco,"(37.717020251513084, -122.39998791981384)",7,Visitacion Valley,non_pay
San Francisco,"(37.717020251513084, -122.39998791981384)",7,Visitacion Valley,non_pay
San Francisco,"(37.71819588400532, -122.40027180992016)",7,Visitacion Valley,nuisance
San Francisco,"(37.70879830771369, -122.41707571206487)",7,Visitacion Valley,breach
San Francisco,"(37.70879830771369, -122.41707571206487)",7,Visitacion Valley,breach
San Francisco,"(37.70879830771369, -122.41707571206487)",7,Visitacion Valley,breach
San Francisco,"(37.70879830771369, -122.41707571206487)",7,Visitacion Valley,breach
San Francisco,"(37.717020251513084, -122.39998791981384)",6,Visitacion Valley,non_pay
San Francisco,"(37.71639340849986, -122.40059019710641)",6,Visitacion Valley,owner _move_in
San Francisco,"(37.71205879666868, -122.40611080883491)",6,Visitacion Valley,nuisance
San Francisco,"(37.709051526225885, -122.40804798728581)",5,Visitacion Valley,owner _move_in
San Francisco,"(37.709051526225885, -122.40804798728581)",5,Visitacion Valley,owner _move_in
San Francisco,"(37.71031104294835, -122.41201950493091)",5,Visitacion Valley,non_pay
San Francisco,"(37.70911425550398, -122.42253793762248)",5,Visitacion Valley,nuisance
San Francisco,"(37.70911425550398, -122.42253793762248)",4,Visitacion Valley,nuisance
San Francisco,"(37.71205879666868, -122.40611080883491)",3,Visitacion Valley,nuisance
San Francisco,"(37.71262387894584, -122.41367324200841)",2,Visitacion Valley,non_pay
